date,lane,cc_id,num_bifurcations,num_mergers,wave_length
2022-11-28,1,56,0,0,0.0423367121497477
2022-11-28,1,57,0,0,0.042782856217876
2022-11-28,1,58,0,0,0.2509230951060743
2022-11-28,1,59,8,8,3.5294793073774287
2022-11-28,1,60,0,0,0.0528770975971326
2022-11-28,1,61,0,0,1.2833122104314685
2022-11-28,1,62,0,0,0.057024994686408
2022-11-28,1,63,0,0,0.1505501520199743
2022-11-28,1,64,0,0,0.2328388186904959
2022-11-28,1,65,0,0,0.0573060524250976
2022-11-28,1,66,0,0,0.1945727212550849
2022-11-28,1,67,0,0,0.0766802378650624
2022-11-28,1,68,0,0,0.205455113446682
2022-11-28,1,69,0,0,0.1871725517030285
2022-11-28,1,70,1,1,0.0498539422091539
2022-11-29,1,1,0,0,0.319394531233037
2022-11-29,1,2,4,3,3.597202316176194
2022-11-29,1,3,2,1,3.0698681779485213
2022-11-29,1,4,0,0,0.0458103075017604
2022-11-29,1,5,5,3,3.6330817228670327
2022-11-29,1,6,0,0,0.3652044550485129
2022-11-29,1,7,0,0,0.4328595696263946
2022-11-29,1,8,0,0,0.1187832458238276
2022-11-29,1,9,0,0,0.4179229044404309
2022-11-29,1,10,0,0,0.1587181856348181
2022-11-29,1,11,0,0,1.8075171152935
2022-11-29,1,12,1,0,0.887495512491661
2022-11-29,1,13,2,3,2.1494969830411748
2022-11-29,1,14,3,1,3.734577240991363
2022-11-29,1,15,1,0,0.1491990203151445
2022-11-29,1,16,0,0,0.0653392320331178
2022-11-29,1,17,0,0,0.1074494441340832
2022-11-29,1,18,2,3,2.9083723062231215
2022-11-29,1,19,0,0,0.3293616291686163
2022-11-29,1,20,4,3,3.068390579268872
2022-11-29,1,21,5,3,2.931303365844471
2022-11-29,1,22,12,9,3.7336102673770526
2022-11-29,1,23,0,0,0.3833773306206822
2022-11-29,1,24,0,0,0.6368195585330341
2022-11-29,1,25,0,0,0.1466103082590493
2022-11-29,1,26,0,0,0.461422640530472
2022-11-29,1,27,0,0,0.1954668882189238
2022-11-29,1,28,0,0,0.2867972071526807
2022-11-29,1,29,4,4,1.9399399103123256
2022-11-29,1,30,0,0,0.0637975751787536
2022-11-29,1,31,0,0,0.0528100832005051
2022-11-29,1,32,0,0,0.0876139442395498
2022-11-29,1,33,1,2,2.8990763912137254
2022-11-29,1,34,3,5,3.084321378864537
2022-11-29,1,35,0,0,0.1228581516507603
2022-11-29,1,36,0,0,0.1608414241526787
2022-11-29,1,37,5,2,3.5779730801262204
2022-11-29,1,38,12,12,3.6503316352189823
2022-11-29,1,39,0,0,0.0245323351007655
2022-11-29,1,40,0,0,0.1234673423527965
2022-11-29,1,41,0,0,0.4236879397614004
2022-11-29,1,42,0,0,0.044285743121236
2022-11-29,1,43,0,0,0.0599356606291081
2022-11-29,1,44,1,1,3.5689610986922844
2022-11-29,1,45,0,0,0.3317828133767051
2022-11-29,1,46,0,0,0.5545400868782906
2022-11-29,1,47,0,0,0.0047800464150427
2022-11-29,1,48,6,7,3.6170024583559055
2022-11-29,1,49,0,0,0.0620922143680431
2022-11-29,1,50,0,0,1.3428054981071895
2022-11-29,1,51,0,0,0.0384117604927141
2022-11-29,1,52,0,0,0.1506903877735794
2022-11-29,1,53,0,0,0.0735012222476072
2022-11-29,1,54,0,0,0.1780419619181756
2022-11-29,1,55,0,0,1.0062858142914095
2022-11-29,1,56,4,2,3.602810000556559
2022-11-29,1,57,0,0,0.0286906903290287
2022-11-29,1,58,0,0,0.2549578334629316
2022-11-29,1,59,0,0,-0.0055135283142178
2022-11-29,1,60,0,0,0.0560353312002703
2022-11-29,1,61,0,0,-0.0164567662712897
2022-11-29,1,62,3,4,2.509788895609077
2022-11-29,1,63,0,0,0.1266083147833256
2022-11-29,1,64,0,1,0.2897125906299251
2022-11-29,1,65,0,0,0.0311505339450235
2022-11-29,1,66,0,0,0.0450874829900058
2022-11-29,1,67,0,0,0.0414808681256104
2022-11-29,1,68,0,0,0.0802609294273963
2022-11-29,1,69,0,0,1.3089960165468568
2022-11-29,1,70,0,0,0.3909116724023249
2022-11-29,1,71,1,1,1.9479124298179045
2022-11-29,1,72,9,6,3.4615249216727904
2022-11-29,1,73,0,0,0.0617806231578939
2022-11-29,1,74,0,0,0.3048125954505565
2022-11-29,1,75,0,0,1.9987575081761548
2022-11-29,1,76,0,0,1.4282819544825287
2022-11-29,1,77,0,0,0.0301426889786782
2022-11-29,1,78,0,0,0.7078379119563394
2022-11-29,1,79,0,0,0.2299475343207504
2022-11-29,1,80,0,0,0.1925996668936562
2022-11-29,1,81,3,2,2.9927317196993357
2022-11-29,1,82,0,0,0.1993912658412853
2022-11-29,1,83,0,0,0.0481422170959859
2022-11-29,1,84,0,0,0.5502441337823782
2022-11-29,1,85,0,0,0.2110778031476101
2022-11-29,1,86,0,0,0.0500965748845914
2022-11-29,1,87,0,0,0.1863718408367773
2022-11-29,1,88,0,0,0.2166054294779087
2022-11-29,1,89,0,0,0.0691704052671084
2022-11-29,1,90,0,0,0.7142835011071469
2022-11-29,1,91,0,0,0.0900374761254525
2022-11-29,1,92,0,0,0.0537681464407526
2022-11-29,1,93,0,0,0.0448382828304616
2022-11-29,1,94,5,5,3.5014790462014176
2022-11-29,1,95,0,0,0.4286184933436061
2022-11-29,1,96,1,0,0.6902703003461284
2022-11-29,1,97,0,0,0.0445142363689612
2022-11-29,1,98,0,0,0.0590049459892796
2022-11-29,1,99,0,0,0.8212908620587669
2022-11-29,1,100,0,0,0.1469211286947072
2022-11-29,1,101,0,0,0.1127118115153109
2022-11-29,1,102,0,0,2.195050900083878
2022-11-29,1,103,3,1,2.042562190959885
2022-11-29,1,104,0,0,0.0745980058520174
2022-11-29,1,105,0,0,0.0524821696883677
