date,lane,cc_id,num_bifurcations,num_mergers,wave_length,cluster
2022-11-22,3,1,0,0,0.868319336023248,0
2022-11-22,3,2,0,0,0.0640291961401473,0
2022-11-22,3,3,4,3,3.0025023352100817,0
2022-11-22,3,4,0,0,0.1192851114473398,0
2022-11-22,3,5,0,0,0.2535375589436484,0
2022-11-22,3,6,0,0,0.0916020038513423,0
2022-11-22,3,7,0,0,0.0522484044838478,0
2022-11-22,3,8,0,0,0.7432765550686042,0
2022-11-22,3,9,7,5,3.5717303148705,2
2022-11-22,3,10,0,0,0.1019498274802046,0
2022-11-22,3,11,0,0,0.2845981528043282,0
2022-11-22,3,12,0,0,0.1435546182673164,0
2022-11-22,3,13,0,0,0.0835409364847521,0
2022-11-22,3,14,1,1,0.3011123641859825,0
2022-11-22,3,15,0,0,0.0586553360076251,0
2022-11-22,3,16,0,0,0.0351993166678568,0
2022-11-22,3,17,0,0,0.0765274986470387,0
2022-11-22,3,18,0,0,0.1743757712654314,0
2022-11-22,3,19,0,0,0.3857661224154753,0
2022-11-22,3,20,1,1,0.1785274380910309,0
2022-11-22,3,21,0,2,0.9067445928581748,0
2022-11-22,3,22,0,0,0.6717666130218873,0
2022-11-22,3,23,0,0,0.0759722154891235,0
2022-11-22,3,24,0,0,0.4263165198876635,0
2022-11-22,3,25,0,0,0.0465958441545097,0
2022-11-22,3,26,0,0,0.0147391122698152,0
2022-11-22,3,27,0,0,0.0324143552319284,0
2022-11-22,3,28,5,7,3.1794122493361527,2
2022-11-22,3,29,0,0,0.208678528402082,0
2022-11-22,3,30,0,0,0.0478012140547292,0
2022-11-22,3,31,0,0,0.0632169259937995,0
2022-11-22,3,32,0,0,0.0521968822672604,0
2022-11-22,3,33,0,0,0.3188094437752866,0
2022-11-22,3,34,0,0,0.8596179072736092,0
2022-11-22,3,35,0,0,0.1256229494131631,0
2022-11-22,3,36,0,0,0.1207102115422031,0
2022-11-22,3,37,0,0,0.0414725820745403,0
2022-11-22,3,38,0,0,0.0658056339826274,0
2022-11-22,3,39,0,0,0.2289486839101897,0
2022-11-22,3,40,10,11,3.2323820649949937,2
2022-11-22,3,41,0,0,0.1181562053811831,0
2022-11-22,3,42,0,1,0.2352954535201519,0
2022-11-22,3,43,5,5,3.6031808599243007,2
2022-11-22,3,44,0,0,0.0478098523922696,0
2022-11-22,3,45,0,0,0.0330442847483141,0
2022-11-22,3,46,0,0,0.1420919409547423,0
2022-11-22,3,47,0,0,0.4066015259376812,0
2022-11-22,3,48,0,0,0.0454598632949583,0
2022-11-22,3,49,0,0,0.0300803271958898,0
2022-11-22,3,50,0,0,0.0781497542863292,0
2022-11-22,3,51,0,0,-0.0022999673544674,0
2022-11-22,3,52,10,9,3.770180564608928,2
2022-11-22,3,53,0,0,0.2823581922505696,0
2022-11-22,3,54,0,0,0.1050205911059407,0
2022-11-22,3,55,37,22,3.5978491443311924,1
2022-11-22,3,56,0,0,0.0588701035673082,0
2022-11-22,3,57,0,0,0.1026906522330293,0
2022-11-22,3,58,0,0,0.0747216193476489,0
2022-11-22,3,59,0,0,0.02901566802079,0
2022-11-22,3,60,0,0,0.05441037379979,0
2022-11-22,3,61,0,0,0.0943939625898124,0
2022-11-22,3,62,0,0,0.0973537190478381,0
2022-11-22,3,63,0,0,0.5529578946511862,0
2022-11-22,3,64,0,0,0.1042883827159997,0
2022-11-22,3,65,0,0,0.1239854583098249,0
2022-11-22,3,66,6,3,0.6600308792485308,2
2022-11-22,3,67,0,0,0.1213857526329462,0
2022-11-22,3,68,0,0,0.0414025626739658,0
2022-11-22,3,69,0,0,0.0541111648225083,0
2022-11-22,3,70,0,0,0.4721200620547066,0
2022-11-22,3,71,0,0,0.4008073541803014,0
2022-11-22,3,72,0,0,0.0636930394512944,0
2022-11-22,3,73,0,0,0.077650263158155,0
2022-11-22,3,74,0,0,0.0987403374926216,0
2022-11-22,3,75,0,0,0.0757486843602777,0
2022-11-22,3,76,0,0,0.222195942991739,0
2022-11-22,3,77,0,0,0.3941944372611914,0
2022-11-22,3,78,0,0,0.189764700465659,0
2022-11-22,3,79,0,0,0.1898636901951533,0
2022-11-22,3,80,1,1,0.7468462655270827,0
2022-11-22,3,81,0,0,0.066839968068642,0
2022-11-22,3,82,0,0,0.1840987801214453,0
2022-11-22,3,83,0,0,0.0525882314607386,0
2022-11-28,3,1,0,0,-0.0049491130717314,0
2022-11-28,3,2,0,0,0.0499725804659263,0
2022-11-28,3,3,0,0,0.0731675196022649,0
2022-11-28,3,4,4,3,3.516098241446244,0
2022-11-28,3,5,0,0,0.4685710726603531,0
2022-11-28,3,6,0,0,0.2011764351558085,0
2022-11-28,3,7,0,0,0.1317607323333405,0
2022-11-28,3,8,5,3,0.9861280690847708,0
2022-11-28,3,9,0,0,1.6628019506162417,0
2022-11-28,3,10,0,0,0.1383928622347383,0
2022-11-28,3,11,0,0,0.1139390523108829,0
2022-11-28,3,12,2,3,1.7307867747115324,0
2022-11-28,3,13,0,0,0.1431163891969618,0
2022-11-28,3,14,3,2,0.8394673593038391,0
2022-11-28,3,15,0,0,0.237915958987088,0
2022-11-28,3,16,0,0,0.106439167544508,0
2022-11-28,3,17,1,0,1.2120698976528883,0
2022-11-28,3,18,0,0,0.0367751408100289,0
2022-11-28,3,19,0,0,0.4378363076653002,0
2022-11-28,3,20,0,0,0.0934944723337736,0
2022-11-28,3,21,0,0,0.2748495646780711,0
2022-11-28,3,22,0,0,0.216029501944952,0
2022-11-28,3,23,2,3,3.221161565262939,0
2022-11-28,3,24,0,0,0.3308633751511536,0
2022-11-28,3,25,0,0,0.0474836873975235,0
2022-11-28,3,26,0,1,0.7763904225246705,0
2022-11-28,3,27,0,0,0.0452349041817612,0
2022-11-28,3,28,0,0,0.2075082064763336,0
2022-11-28,3,29,0,0,0.1395953667077591,0
2022-11-28,3,30,0,0,0.2934788655283142,0
2022-11-28,3,31,0,0,0.3146559643423643,0
2022-11-28,3,32,3,2,0.5892097245745305,0
2022-11-28,3,33,0,0,0.0463072848341354,0
2022-11-28,3,34,0,0,0.1519013941224756,0
2022-11-28,3,35,0,0,0.1398931684781743,0
2022-11-28,3,36,0,0,0.1759127329239902,0
2022-11-28,3,37,0,0,0.0587312240793096,0
2022-11-28,3,38,0,0,0.1195949230014079,0
2022-11-28,3,39,0,0,0.1189486815856781,0
2022-11-28,3,40,1,0,0.6434408925119115,0
2022-11-28,3,41,0,0,0.0381720989681255,0
2022-11-28,3,42,0,0,0.0978028519073817,0
2022-11-28,3,43,0,0,0.1863736031825169,0
2022-11-28,3,44,0,1,1.170811607683227,0
2022-11-28,3,45,2,1,1.6823990653687062,0
2022-11-28,3,46,0,0,0.0882471179695372,0
2022-11-28,3,47,0,0,0.0687807229006054,0
2022-11-28,3,48,5,5,1.3994796873049324,2
2022-11-28,3,49,0,0,0.0490870493184729,0
2022-11-28,3,50,0,0,0.033436511544167,0
2022-11-28,3,51,0,0,0.0853437860090551,0
2022-11-28,3,52,0,0,0.2385425252187545,0
2022-11-28,3,53,0,0,0.0793489376536342,0
2022-11-28,3,54,0,0,0.0705489016969451,0
2022-11-28,3,55,0,1,1.5304387484739976,0
2022-11-28,3,56,0,0,0.1858892974349402,0
2022-11-28,3,57,0,0,0.0604456457697466,0
2022-11-28,3,58,12,13,3.4271660111794304,2
2022-11-28,3,59,0,0,0.0546519036912727,0
2022-11-28,3,60,1,2,1.4129510441174915,0
2022-11-28,3,61,0,0,0.1793598009941774,0
