date,lane,num_cc,num_bifurcations,num_mergers,wave_length,cluster
2022-11-22,1,61,4,2,3.1067629132519485,2
2022-11-22,1,61,0,0,0.0738896057046503,0
2022-11-22,1,61,0,0,0.2607075725441774,0
2022-11-22,1,61,7,4,3.4252960149445,2
2022-11-22,1,61,0,0,0.2015252533683948,0
2022-11-22,1,61,0,0,0.1410417093854903,0
2022-11-22,1,61,0,0,0.113319758052647,0
2022-11-22,1,61,9,8,3.7657576799522303,1
2022-11-22,1,61,0,2,2.5167420430936787,0
2022-11-22,1,61,0,0,0.0254122353630492,0
2022-11-22,1,61,0,0,0.273604470536263,0
2022-11-22,1,61,0,0,0.1006440953164258,0
2022-11-22,1,61,0,0,0.3305053017276407,0
2022-11-22,1,61,0,0,0.0566200395474965,0
2022-11-22,1,61,0,0,0.0312850015523054,0
2022-11-22,1,61,3,4,3.80771726345688,2
2022-11-22,1,61,0,0,0.1732962120445194,0
2022-11-22,1,61,0,0,0.865405064342653,0
2022-11-22,1,61,0,0,0.0748355783982077,0
2022-11-22,1,61,0,0,0.239060748737927,0
2022-11-22,1,61,0,0,0.0151171313221354,0
2022-11-22,1,61,0,0,1.33913647157447,0
2022-11-22,1,61,0,0,0.0683993839525882,0
2022-11-22,1,61,6,5,3.1373802552946657,2
2022-11-22,1,61,0,0,0.2351891732769004,0
2022-11-22,1,61,0,0,0.13090746403509,0
2022-11-22,1,61,0,0,0.2776688576000836,0
2022-11-22,1,61,0,0,0.1523033216469329,0
2022-11-22,1,61,0,0,0.0988385542367851,0
2022-11-22,1,61,0,0,0.0514472959125384,0
2022-11-22,1,61,3,2,2.917482834393489,2
2022-11-22,1,61,0,0,0.0177550046176335,0
2022-11-22,1,61,0,0,0.0115131594890129,0
2022-11-22,1,61,2,1,2.9310949503823593,2
2022-11-22,1,61,7,7,3.7342715587754967,1
2022-11-22,1,61,0,0,0.0389140834735499,0
2022-11-22,1,61,0,0,-0.0745861747545575,0
2022-11-22,1,61,0,0,0.0526665123031406,0
2022-11-22,1,61,1,1,0.4289434946489407,0
2022-11-22,1,61,0,0,0.5060736478345547,0
2022-11-22,1,61,0,0,0.071634396245912,0
2022-11-22,1,61,0,0,0.1704774311719106,0
2022-11-22,1,61,9,10,3.6280564005066864,1
2022-11-22,1,61,0,0,0.1446369303988319,0
2022-11-22,1,61,0,0,0.199075401883924,0
2022-11-22,1,61,0,0,0.2046725180575563,0
2022-11-22,1,61,0,1,0.3196783875576798,0
2022-11-22,1,61,0,0,0.4277101241146113,0
2022-11-22,1,61,0,0,1.1922739819429324,0
2022-11-22,1,61,0,0,0.001815995864419,0
2022-11-22,1,61,0,0,0.029642240305904,0
2022-11-22,1,61,0,0,0.1548299315991741,0
2022-11-22,1,61,0,0,1.3439804028029414,0
2022-11-22,1,61,0,0,-0.0097709244721926,0
2022-11-22,1,61,0,0,0.7785390015065303,0
2022-11-22,1,61,0,0,0.0179868224577361,0
2022-11-22,1,61,0,0,0.0710502502410221,0
